#aktschritt 	 uEuler 	 vEuler 	 uRunge 	 vRunge
# a=0.01	 b=0.99	 u0=1	 v0=1
36	0.960493	1.02132	0.99316	0.995934
36.1	0.959664	1.02609	0.993113	0.996668
36.2	0.959197	1.0306	0.993134	0.997335
36.3	0.959098	1.03477	0.993223	0.997928
36.4	0.959374	1.03859	0.993379	0.998443
36.5	0.960028	1.042	0.9936	0.998874
36.6	0.961061	1.04496	0.993884	0.999216
36.7	0.962472	1.04744	0.994228	0.999466
36.8	0.964255	1.04941	0.99463	0.999623
36.9	0.966402	1.05084	0.995084	0.999683
37	0.968904	1.0517	0.995587	0.999647
37.1	0.971744	1.05197	0.996134	0.999515
37.2	0.974906	1.05163	0.996719	0.999287
37.3	0.978367	1.05068	0.997336	0.998968
37.4	0.982102	1.04911	0.99798	0.998558
37.5	0.98608	1.04692	0.998643	0.998064
37.6	0.99027	1.04412	0.99932	0.997489
37.7	0.994634	1.04073	1	0.996839
37.8	0.999129	1.03677	1.00069	0.996122
37.9	1.00371	1.03228	1.00136	0.995344
38	1.00834	1.02728	1.00202	0.994513
38.1	1.01295	1.02183	1.00266	0.993638
38.2	1.0175	1.01598	1.00328	0.992729
38.3	1.02194	1.0098	1.00385	0.991793
38.4	1.02621	1.00334	1.00439	0.990841
38.5	1.03025	0.996677	1.00489	0.989883
38.6	1.03401	0.989889	1.00533	0.988928
38.7	1.03745	0.983053	1.00572	0.987986
38.8	1.04051	0.976247	1.00605	0.987067
38.9	1.04315	0.969553	1.00632	0.98618
39	1.04534	0.96305	1.00652	0.985333
39.1	1.04704	0.956815	1.00666	0.984537
39.2	1.04823	0.95092	1.00673	0.983797
39.3	1.04889	0.945434	1.00673	0.983123
39.4	1.04902	0.940419	1.00666	0.98252
39.5	1.0486	0.935932	1.00653	0.981994
39.6	1.04766	0.932019	1.00633	0.98155
39.7	1.04619	0.928722	1.00607	0.981192
39.8	1.04422	0.926073	1.00574	0.980924
39.9	1.04177	0.924095	1.00536	0.980748
40	1.03889	0.922803	1.00493	0.980665
40.1	1.0356	0.922206	1.00445	0.980676
40.2	1.03194	0.922303	1.00393	0.98078
40.3	1.02796	0.923087	1.00337	0.980975
40.4	1.02371	0.924544	1.00278	0.98126
40.5	1.01923	0.926653	1.00216	0.981631
40.6	1.01457	0.92939	1.00152	0.982084
40.7	1.00978	0.932723	1.00087	0.982615
40.8	1.00491	0.936618	1.00021	0.983217
40.9	0.999999	0.941034	0.999557	0.983885
41	0.995103	0.945931	0.998907	0.984612
41.1	0.990261	0.951262	0.99827	0.985391
41.2	0.985518	0.95698	0.997652	0.986213
41.3	0.980912	0.963033	0.997059	0.987071
41.4	0.976483	0.969372	0.996496	0.987956
41.5	0.972266	0.97594	0.99597	0.988859
41.6	0.968295	0.982684	0.995485	0.989772
41.7	0.964602	0.989548	0.995045	0.990685
41.8	0.961215	0.996475	0.994655	0.99159
41.9	0.958161	1.00341	0.994319	0.992478
42	0.955465	1.01029	0.994039	0.993341
42.1	0.953149	1.01706	0.993819	0.994169
42.2	0.951233	1.02366	0.99366	0.994955
42.3	0.949735	1.03003	0.993563	0.995691
42.4	0.94867	1.03612	0.99353	0.99637
42.5	0.948051	1.04188	0.99356	0.996985
42.6	0.94789	1.04723	0.993655	0.997531
42.7	0.948194	1.05214	0.993811	0.998001
42.8	0.94897	1.05654	0.994029	0.998392
42.9	0.950219	1.0604	0.994306	0.998699
43	0.951942	1.06365	0.994639	0.998919
43.1	0.954136	1.06626	0.995024	0.999051
43.2	0.956792	1.06819	0.995459	0.999092
43.3	0.959901	1.06941	0.995939	0.999043
43.4	0.963447	1.06987	0.996459	0.998904
43.5	0.967411	1.06956	0.997014	0.998675
43.6	0.971769	1.06846	0.997598	0.998361
43.7	0.97649	1.06656	0.998206	0.997963
43.8	0.981542	1.06386	0.998832	0.997485
43.9	0.986883	1.06037	0.999469	0.996933
44	0.992468	1.0561	1.00011	0.996312
44.1	0.998246	1.05107	1.00075	0.995629
44.2	1.00416	1.04533	1.00138	0.99489
44.3	1.01015	1.03893	1.002	0.994103
44.4	1.01615	1.03192	1.0026	0.993276
44.5	1.02208	1.02436	1.00317	0.992417
44.6	1.02788	1.01635	1.00371	0.991535
44.7	1.03348	1.00797	1.0042	0.99064
44.8	1.03879	0.999313	1.00466	0.989741
44.9	1.04374	0.990478	1.00507	0.988846
45	1.04827	0.981575	1.00542	0.987965
45.1	1.05231	0.972712	1.00573	0.987106
45.2	1.05579	0.963999	1.00597	0.986279
45.3	1.05867	0.955542	1.00615	0.985492
45.4	1.0609	0.947447	1.00627	0.984752
45.5	1.06244	0.939811	1.00632	0.984068
45.6	1.06328	0.932727	1.00631	0.983445
45.7	1.06341	0.926275	1.00624	0.98289
45.8	1.06281	0.920529	1.0061	0.982408
45.9	1.06151	0.915549	1.00591	0.982004
46	1.05952	0.911384	1.00565	0.981682
46.1	1.05688	0.908073	1.00534	0.981444
46.2	1.05363	0.905641	1.00497	0.981292
46.3	1.0498	0.904103	1.00456	0.981228
46.4	1.04546	0.903463	1.0041	0.981252
46.5	1.04066	0.903715	1.00361	0.981364
46.6	1.03547	0.904845	1.00307	0.981561
46.7	1.02994	0.906828	1.00251	0.981842
46.8	1.02414	0.909634	1.00193	0.982203
46.9	1.01813	0.913226	1.00133	0.982641
47	1.01198	0.917562	1.00072	0.98315
47.1	1.00575	0.922593	1.0001	0.983726
47.2	0.999502	0.928269	0.999484	0.984363
47.3	0.993286	0.934535	0.998875	0.985055
47.4	0.98716	0.941332	0.998279	0.985793
47.5	0.981176	0.948601	0.997702	0.986571
47.6	0.97538	0.956278	0.997149	0.987382
47.7	0.96982	0.964301	0.996626	0.988217
47.8	0.964535	0.972604	0.996137	0.989067
47.9	0.959566	0.98112	0.995688	0.989926
48	0.954947	0.989782	0.995282	0.990783
48.1	0.950713	0.998521	0.994924	0.991631
48.2	0.946894	1.00727	0.994617	0.992462
48.3	0.943517	1.01596	0.994363	0.993268
48.4	0.940608	1.02451	0.994165	0.99404
48.5	0.93819	1.03287	0.994025	0.994771
48.6	0.936285	1.04096	0.993944	0.995454
48.7	0.93491	1.0487	0.993923	0.996082
48.8	0.934081	1.05604	0.993962	0.996649
48.9	0.933813	1.0629	0.99406	0.99715
49	0.934118	1.06922	0.994217	0.99758
49.1	0.935003	1.07492	0.994431	0.997934
49.2	0.936476	1.07995	0.9947	0.998208
49.3	0.938538	1.08424	0.995022	0.998402
49.4	0.941189	1.08773	0.995392	0.998511
49.5	0.944426	1.09038	0.995808	0.998535
49.6	0.948238	1.09212	0.996265	0.998475
49.7	0.952613	1.09292	0.996759	0.99833
49.8	0.957531	1.09274	0.997286	0.998101
49.9	0.962967	1.09155	0.997839	0.997792
50	0.968891	1.08933	0.998413	0.997406
50.1	0.975263	1.08607	0.999002	0.996945
50.2	0.982037	1.08177	0.999602	0.996416
50.3	0.989159	1.07645	1.0002	0.995823
50.4	0.996566	1.07012	1.0008	0.995172
50.5	1.00419	1.06284	1.0014	0.99447
50.6	1.01195	1.05467	1.00197	0.993725
50.7	1.01975	1.04567	1.00253	0.992943
50.8	1.02752	1.03593	1.00306	0.992133
50.9	1.03514	1.02556	1.00356	0.991303
51	1.04251	1.01467	1.00402	0.990461
51.1	1.04954	1.00339	1.00444	0.989617
51.2	1.05611	0.991863	1.00482	0.988778
51.3	1.06213	0.980234	1.00514	0.987954
51.4	1.0675	0.968652	1.00542	0.987153
51.5	1.07213	0.957269	1.00563	0.986382
51.6	1.07595	0.946235	1.00579	0.98565
51.7	1.0789	0.935692	1.0059	0.984963
51.8	1.08093	0.925775	1.00594	0.98433
51.9	1.082	0.916607	1.00592	0.983755
52	1.08211	0.908298	1.00584	0.983245
52.1	1.08126	0.900939	1.0057	0.982804
52.2	1.07946	0.894609	1.00551	0.982437
52.3	1.07676	0.889365	1.00526	0.982146
52.4	1.0732	0.885251	1.00496	0.981936
52.5	1.06884	0.882292	1.00461	0.981807
52.6	1.06375	0.880498	1.00422	0.98176
52.7	1.05801	0.879864	1.00378	0.981796
52.8	1.0517	0.880374	1.00331	0.981913
52.9	1.0449	0.881999	1.0028	0.982111
53	1.03771	0.884701	1.00227	0.982387
53.1	1.03021	0.888433	1.00172	0.982738
53.2	1.02248	0.893141	1.00116	0.983161
53.3	1.0146	0.898766	1.00058	0.98365
53.4	1.00667	0.905245	1	0.9842
53.5	0.998734	0.91251	0.999422	0.984807
53.6	0.990881	0.92049	0.998852	0.985464
53.7	0.98317	0.929112	0.998294	0.986165
53.8	0.975664	0.938302	0.997755	0.986901
53.9	0.968416	0.947983	0.99724	0.987667
54	0.961479	0.958079	0.996753	0.988454
54.1	0.9549	0.96851	0.9963	0.989255
54.2	0.948722	0.979198	0.995885	0.990062
54.3	0.942985	0.990063	0.99551	0.990867
54.4	0.937725	1.00102	0.995181	0.991661
54.5	0.932975	1.012	0.994901	0.992438
54.6	0.928766	1.02291	0.994671	0.99319
54.7	0.925127	1.03368	0.994494	0.99391
54.8	0.922082	1.04421	0.994371	0.994589
54.9	0.919656	1.05443	0.994304	0.995223
55	0.917871	1.06425	0.994294	0.995804
55.1	0.916745	1.07358	0.99434	0.996326
55.2	0.916297	1.08236	0.994442	0.996786
55.3	0.916542	1.09048	0.994598	0.997178
55.4	0.917493	1.09788	0.994808	0.997498
55.5	0.919163	1.10446	0.995069	0.997743
55.6	0.921558	1.11015	0.995379	0.997912
55.7	0.924683	1.11487	0.995735	0.998001
55.8	0.92854	1.11854	0.996132	0.99801
55.9	0.933125	1.1211	0.996568	0.99794
56	0.93843	1.12248	0.997037	0.99779
56.1	0.944438	1.12263	0.997536	0.997563
56.2	0.951129	1.1215	0.998059	0.997261
56.3	0.958472	1.11904	0.998601	0.996886
56.4	0.966428	1.11524	0.999157	0.996442
56.5	0.974947	1.11008	0.999721	0.995935
56.6	0.983967	1.10356	1.00029	0.995368
56.7	0.993417	1.09572	1.00085	0.994749
56.8	1.00321	1.08658	1.0014	0.994083
56.9	1.01324	1.07623	1.00194	0.993377
57	1.02341	1.06473	1.00246	0.992638
57.1	1.03359	1.05222	1.00295	0.991874
57.2	1.04364	1.03881	1.00342	0.991092
57.3	1.05342	1.02466	1.00384	0.990301
57.4	1.06278	1.00996	1.00423	0.989509
57.5	1.07158	0.994881	1.00458	0.988724
57.6	1.07966	0.97964	1.00487	0.987953
57.7	1.08689	0.964446	1.00512	0.987205
57.8	1.09314	0.949513	1.00532	0.986487
57.9	1.09828	0.935052	1.00546	0.985806
58	1.10224	0.921263	1.00555	0.985169
