#aktschritt 	 uEuler 	 vEuler 	 uRunge 	 vRunge
# a=0.1	 b=0.1	 u0=0.1	 v0=0.01
190	0.182336	2.47235	0.189999	2.48279
191	0.182266	2.48125	0.189862	2.48796
192	0.182348	2.49004	0.189821	2.49309
193	0.182572	2.49864	0.189871	2.49812
194	0.182929	2.50699	0.190008	2.50301
195	0.18341	2.51505	0.190228	2.50774
196	0.184007	2.52275	0.190525	2.51226
197	0.184712	2.53004	0.190895	2.51653
198	0.185517	2.53688	0.191333	2.52054
199	0.186413	2.54322	0.191833	2.52425
